,Accuracy,Precision,Recall,F1_Score,Alpha,Epsilon,Attention
0,0.564,0.5589428523926835,0.5851578159221412,0.5447806632702517,0.5,0.5,1
1,0.488,0.48502407447302076,0.5280809646791933,0.4833000686247565,0.5,0.5,0
2,0.573,0.5533177077469756,0.5957552980231823,0.5524195262122928,0.5,0.6,1
3,0.483,0.4819279164577789,0.5246912868283086,0.4795114726970908,0.5,0.6,0
4,0.598,0.5663384594981905,0.5986465582852398,0.5725370976412957,0.5,0.7,1
5,0.485,0.48262904866811523,0.5260660001850053,0.480689561944365,0.5,0.7,0
6,0.583,0.5607613577577696,0.5988779128998704,0.5613460129287743,0.5,0.8,1
7,0.488,0.4859652392112815,0.5292877533230624,0.48394488405321284,0.5,0.8,0
8,0.578,0.5537005774084008,0.595018847600311,0.5594728927707392,0.5,0.9,1
9,0.485,0.4826312084047236,0.5246430246592213,0.48004973606981105,0.5,0.9,0
10,0.579,0.5551874515240002,0.5937649370524002,0.5569010030145304,0.6,0.5,1
11,0.485,0.4840623224007358,0.525606510869788,0.4811571688522899,0.6,0.5,0
12,0.579,0.5584245296987816,0.5958446087160388,0.556440895539387,0.6,0.6,1
13,0.484,0.48226991902107114,0.5249039121038532,0.4800615290507954,0.6,0.6,0
14,0.573,0.5494983961805858,0.5873326182110927,0.5502871733732128,0.6,0.7,1
15,0.483,0.48106794237152606,0.5225316409186627,0.4785559804680287,0.6,0.7,0
16,0.575,0.554729955987537,0.5986904874021718,0.5567069986915313,0.6,0.8,1
17,0.482,0.4804866227783308,0.5219789782873178,0.47799176501836166,0.6,0.8,0
18,0.579,0.5559448585067459,0.5976390144011097,0.5569744883602458,0.6,0.9,1
19,0.483,0.4816707283206398,0.5240597817368521,0.479357637464843,0.6,0.9,0
20,0.588,0.5684214480467692,0.6083631252031257,0.5703741842561498,0.7,0.5,1
21,0.484,0.4821285203287541,0.52417678048512,0.4799819963134046,0.7,0.5,0
22,0.576,0.5523740640249102,0.5870332147502337,0.5531853726817404,0.7,0.6,1
23,0.485,0.4822549146479833,0.5247073634748155,0.48022035241416006,0.7,0.6,0
24,0.592,0.5629731522470219,0.5981559211720558,0.5677506054676676,0.7,0.7,1
25,0.481,0.47805194245295735,0.5189878163632501,0.4754747309164636,0.7,0.7,0
26,0.579,0.5545450637537457,0.5881938026916338,0.5554580252258469,0.7,0.8,1
27,0.486,0.48465568263500713,0.5265652836406414,0.48188689830013437,0.7,0.8,0
28,0.573,0.5530272842312626,0.5951001580364607,0.5542989467747536,0.7,0.9,1
29,0.484,0.4827582093628965,0.5254389394918487,0.4806336847977825,0.7,0.9,0
30,0.578,0.557025559018963,0.5966387727296957,0.5577873767965914,0.8,0.5,1
31,0.482,0.4786110798513915,0.5213488764688801,0.4776562890720245,0.8,0.5,0
32,0.576,0.5551901537139597,0.5965088321303441,0.5568384936550042,0.8,0.6,1
33,0.484,0.4829236554532442,0.5245397920968761,0.4801161034870577,0.8,0.6,0
34,0.578,0.555767504616123,0.595897318626653,0.5594311551815234,0.8,0.7,1
35,0.48,0.4763339212606204,0.5170471412417638,0.4749126256852424,0.8,0.7,0
36,0.579,0.5571205217626699,0.5972694969244354,0.5584666716425736,0.8,0.8,1
37,0.482,0.47886659197047765,0.5215829708321492,0.47811046663165857,0.8,0.8,0
38,0.576,0.5537577339964088,0.5941371833214554,0.5566485959763898,0.8,0.9,1
39,0.484,0.48147535597952135,0.5240688344830613,0.4800444816688337,0.8,0.9,0
40,0.583,0.5580790301658681,0.5993986178035563,0.5632347269534296,0.9,0.5,1
41,0.484,0.4803150927099518,0.522061636376245,0.47900384733751494,0.9,0.5,0
42,0.58,0.5563346448588933,0.5946056611368551,0.5585703111072553,0.9,0.6,1
43,0.481,0.4777006012585063,0.5183289385013695,0.4756028984749741,0.9,0.6,0
44,0.578,0.5573065131699049,0.5994022091937834,0.5597813419677606,0.9,0.7,1
45,0.488,0.48478511466343593,0.5285323977577207,0.48424276963989715,0.9,0.7,0
46,0.579,0.5580788486856375,0.5969903626775679,0.5590842660505959,0.9,0.8,1
47,0.484,0.4813029287726946,0.523183667054926,0.47963903213916675,0.9,0.8,0
48,0.581,0.5589281819539124,0.597146732352614,0.5608217012861473,0.9,0.9,1
49,0.478,0.47400392921029005,0.5156293293573146,0.47337363780328634,0.9,0.9,0
