,Accuracy,Precision,Recall,F1_Score,Alpha,Epsilon,Attention
0,0.61,0.5835670831417482,0.5856485232786763,0.5828996549773257,0.5,0.5,1
1,0.512,0.5101577919397923,0.5055317735871816,0.49809936279349715,0.5,0.5,0
2,0.617,0.5882023975621339,0.5908198846827726,0.5883542416948297,0.5,0.6,1
3,0.515,0.5130492991465522,0.5081552185183188,0.5010453039842786,0.5,0.6,0
4,0.617,0.587417300181361,0.5912260429870928,0.5881019601305555,0.5,0.7,1
5,0.511,0.5096996727928419,0.5044167130798559,0.49710827132398033,0.5,0.7,0
6,0.627,0.5945511846559868,0.5963599073578355,0.5948758966524642,0.5,0.8,1
7,0.513,0.5113488306111257,0.506323716686817,0.4991056684817865,0.5,0.8,0
8,0.615,0.5871053423414807,0.5886515359316039,0.5864226449001199,0.5,0.9,1
9,0.515,0.5139600884720998,0.5081552185183188,0.501188415285974,0.5,0.9,0
10,0.621,0.591499222467141,0.5952674282439476,0.5925472959884718,0.6,0.5,1
11,0.515,0.5133548165022791,0.507890525945934,0.5008643694711951,0.6,0.5,0
12,0.62,0.589509746258114,0.5913343275049076,0.5897162119828623,0.6,0.6,1
13,0.515,0.5140189133408484,0.5078221915025994,0.5006715843924445,0.6,0.6,0
14,0.616,0.5886695305580107,0.5893076536722945,0.587652606263652,0.6,0.7,1
15,0.515,0.5140171682813302,0.5078955853432585,0.5007416896621907,0.6,0.7,0
16,0.622,0.5902685690188596,0.5922405672843943,0.5908312555686187,0.6,0.8,1
17,0.512,0.5111548049320285,0.5050728308205464,0.49797611130296976,0.6,0.8,0
18,0.623,0.59154334808386,0.5933678545211695,0.591992806336814,0.6,0.9,1
19,0.51,0.5082518906814684,0.5019875183429688,0.4953597941269698,0.6,0.9,0
20,0.622,0.592289591644096,0.595060343661863,0.5929093063983095,0.7,0.5,1
21,0.514,0.5107687477809627,0.5058065849542156,0.4989010886538692,0.7,0.5,0
22,0.617,0.5878075334500951,0.5914886276246774,0.5885667564536722,0.7,0.6,1
23,0.515,0.5120788437755509,0.506717276472642,0.5001694008286063,0.7,0.6,0
24,0.61,0.5839101111893924,0.5860370236671767,0.5832904064520573,0.7,0.7,1
25,0.517,0.5148148498211402,0.5095378963778348,0.5024124674110473,0.7,0.7,0
26,0.615,0.5865079792273978,0.587047040353989,0.5859539927250556,0.7,0.8,1
27,0.514,0.5117378650624854,0.5056627487354219,0.49883881224543747,0.7,0.8,0
28,0.616,0.5870795526105371,0.5907671269031767,0.58769769958356,0.7,0.9,1
29,0.515,0.5133232448687921,0.5075625583275393,0.5003415615138266,0.7,0.9,0
30,0.619,0.5897248849853333,0.5933201294561792,0.5905478047389012,0.8,0.5,1
31,0.513,0.5094650132279827,0.5046864650495654,0.4980512543173765,0.8,0.5,0
32,0.622,0.5927269648980228,0.5950990826947054,0.5931423674992276,0.8,0.6,1
33,0.512,0.5093691680677884,0.5038995813472545,0.4970758016977997,0.8,0.6,0
34,0.623,0.5921572181236552,0.5945309851998122,0.5927895742260081,0.8,0.7,1
35,0.516,0.513571665677966,0.5088817786371441,0.5015934864407878,0.8,0.7,0
36,0.617,0.5885522698223505,0.5906465064189247,0.5885265274882138,0.8,0.8,1
37,0.512,0.5099454496493375,0.5040204377008457,0.49722697492200973,0.8,0.8,0
38,0.625,0.5936195185172897,0.5961127634642828,0.5945036445761694,0.8,0.9,1
39,0.519,0.5163914114267794,0.5114219201195933,0.5039615956511305,0.8,0.9,0
40,0.622,0.5912677573877877,0.5929291760265517,0.5914948350948813,0.9,0.5,1
41,0.513,0.5108631831000033,0.504802471192452,0.4978971735709201,0.9,0.5,0
42,0.617,0.5879194501021385,0.5908378051506504,0.5882724931436983,0.9,0.6,1
43,0.513,0.5105455059129568,0.5049412480139212,0.4979805618184287,0.9,0.6,0
44,0.619,0.5887299758213621,0.590421528051681,0.5888689399420531,0.9,0.7,1
45,0.517,0.5135680660279264,0.5086063596117252,0.5017313018934048,0.9,0.7,0
46,0.62,0.5895785138837222,0.5912818055946508,0.5898323568967297,0.9,0.8,1
47,0.511,0.5081148757036984,0.5027845208399288,0.4959305969451795,0.9,0.8,0
48,0.622,0.5914816636690176,0.5929291760265517,0.5915610600620956,0.9,0.9,1
49,0.512,0.5096229841047987,0.5055893548947629,0.4976297960177349,0.9,0.9,0
